2016-05-26 06:07:53 status unpacked libcomerr2:armhf 1.42.12-1.1
2016-05-26 06:07:53 install libss2:armhf <none> 1.42.12-1.1
2016-05-26 06:07:53 status half-installed libss2:armhf 1.42.12-1.1
2016-05-26 06:07:53 status unpacked libss2:armhf 1.42.12-1.1
2016-05-26 06:07:53 status unpacked libss2:armhf 1.42.12-1.1
2016-05-26 06:07:53 install findutils:armhf <none> 4.4.2-9+b1
2016-05-26 06:07:53 status half-installed findutils:armhf 4.4.2-9+b1
2016-05-26 06:07:53 status unpacked findutils:armhf 4.4.2-9+b1
2016-05-26 06:07:53 status unpacked findutils:armhf 4.4.2-9+b1
2016-05-26 06:07:53 install gcc-4.8-base:armhf <none> 4.8.4-1
2016-05-26 06:07:53 status half-installed gcc-4.8-base:armhf 4.8.4-1
2016-05-26 06:07:53 status unpacked gcc-4.8-base:armhf 4.8.4-1
2016-05-26 06:07:53 status unpacked gcc-4.8-base:armhf 4.8.4-1
2016-05-26 06:07:53 install gcc-4.9-base:armhf <none> 4.9.2-10
2016-05-26 06:07:53 status half-installed gcc-4.9-base:armhf 4.9.2-10
2016-05-26 06:07:53 status unpacked gcc-4.9-base:armhf 4.9.2-10
2016-05-26 06:07:53 status unpacked gcc-4.9-base:armhf 4.9.2-10
2016-05-26 06:07:53 install libgcc1:armhf <none> 1:4.9.2-10
2016-05-26 06:07:53 status half-installed libgcc1:armhf 1:4.9.2-10
2016-05-26 06:07:54 status unpacked libgcc1:armhf 1:4.9.2-10
2016-05-26 06:07:54 status unpacked libgcc1:armhf 1:4.9.2-10
2016-05-26 06:07:54 install libc-bin:armhf <none> 2.19-18+deb8u4
2016-05-26 06:07:54 status half-installed libc-bin:armhf 2.19-18+deb8u4
2016-05-26 06:07:54 status unpacked libc-bin:armhf 2.19-18+deb8u4
2016-05-26 06:07:54 status unpacked libc-bin:armhf 2.19-18+deb8u4
2016-05-26 06:07:54 upgrade libc6:armhf 2.19-18+deb8u4 2.19-18+deb8u4
2016-05-26 06:07:54 status half-configured libc6:armhf 2.19-18+deb8u4
2016-05-26 06:07:54 status unpacked libc6:armhf 2.19-18+deb8u4
2016-05-26 06:07:54 status half-installed libc6:armhf 2.19-18+deb8u4
2016-05-26 06:07:56 status half-installed libc6:armhf 2.19-18+deb8u4
2016-05-26 06:07:56 status unpacked libc6:armhf 2.19-18+deb8u4
2016-05-26 06:07:56 status unpacked libc6:armhf 2.19-18+deb8u4
2016-05-26 06:07:56 install multiarch-support:armhf <none> 2.19-18+deb8u4
2016-05-26 06:07:56 status half-installed multiarch-support:armhf 2.19-18+deb8u4
2016-05-26 06:07:56 status unpacked multiarch-support:armhf 2.19-18+deb8u4
2016-05-26 06:07:56 status unpacked multiarch-support:armhf 2.19-18+deb8u4
2016-05-26 06:07:56 install grep:armhf <none> 2.20-4.1
2016-05-26 06:07:56 status half-installed grep:armhf 2.20-4.1
2016-05-26 06:07:56 status unpacked grep:armhf 2.20-4.1
2016-05-26 06:07:56 status unpacked grep:armhf 2.20-4.1
2016-05-26 06:07:56 install gzip:armhf <none> 1.6-4
2016-05-26 06:07:56 status half-installed gzip:armhf 1.6-4
2016-05-26 06:07:56 status unpacked gzip:armhf 1.6-4
2016-05-26 06:07:56 status unpacked gzip:armhf 1.6-4
2016-05-26 06:07:56 install hostname:armhf <none> 3.15
2016-05-26 06:07:56 status half-installed hostname:armhf 3.15
2016-05-26 06:07:56 status unpacked hostname:armhf 3.15
2016-05-26 06:07:56 status unpacked hostname:armhf 3.15
2016-05-26 06:07:56 install init:armhf <none> 1.22
2016-05-26 06:07:56 status half-installed init:armhf 1.22
2016-05-26 06:07:56 status unpacked init:armhf 1.22
2016-05-26 06:07:56 status unpacked init:armhf 1.22
2016-05-26 06:07:56 install insserv:armhf <none> 1.14.0-5
2016-05-26 06:07:56 status half-installed insserv:armhf 1.14.0-5
2016-05-26 06:07:56 status unpacked insserv:armhf 1.14.0-5
2016-05-26 06:07:56 status unpacked insserv:armhf 1.14.0-5
2016-05-26 06:07:57 install libkmod2:armhf <none> 18-3
2016-05-26 06:07:57 status half-installed libkmod2:armhf 18-3
2016-05-26 06:07:57 status unpacked libkmod2:armhf 18-3
2016-05-26 06:07:57 status unpacked libkmod2:armhf 18-3
2016-05-26 06:07:57 install libcap2:armhf <none> 1:2.24-8
2016-05-26 06:07:57 status half-installed libcap2:armhf 1:2.24-8
2016-05-26 06:07:57 status unpacked libcap2:armhf 1:2.24-8
2016-05-26 06:07:57 status unpacked libcap2:armhf 1:2.24-8
2016-05-26 06:07:57 install libcap2-bin:armhf <none> 1:2.24-8
2016-05-26 06:07:57 status half-installed libcap2-bin:armhf 1:2.24-8
2016-05-26 06:07:57 status unpacked libcap2-bin:armhf 1:2.24-8
2016-05-26 06:07:57 status unpacked libcap2-bin:armhf 1:2.24-8
2016-05-26 06:07:57 install libgcrypt20:armhf <none> 1.6.3-2+deb8u1
2016-05-26 06:07:57 status half-installed libgcrypt20:armhf 1.6.3-2+deb8u1
2016-05-26 06:07:57 status unpacked libgcrypt20:armhf 1.6.3-2+deb8u1
2016-05-26 06:07:57 status unpacked libgcrypt20:armhf 1.6.3-2+deb8u1
2016-05-26 06:07:57 install libgpg-error0:armhf <none> 1.17-3
2016-05-26 06:07:57 status half-installed libgpg-error0:armhf 1.17-3
2016-05-26 06:07:57 status unpacked libgpg-error0:armhf 1.17-3
2016-05-26 06:07:57 status unpacked libgpg-error0:armhf 1.17-3
2016-05-26 06:07:57 install liblocale-gettext-perl:armhf <none> 1.05-8+b1
2016-05-26 06:07:57 status half-installed liblocale-gettext-perl:armhf 1.05-8+b1
2016-05-26 06:07:57 status unpacked liblocale-gettext-perl:armhf 1.05-8+b1
